time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2022-11-07 23:50:08.023273,5,59.00-60.00,1.43,12.0
2022-11-07 23:50:09.023265,5,60.00-61.00,1.98,16.6
2022-11-07 23:50:10.023288,5,61.00-62.00,1.65,13.9
2022-11-07 23:50:11.023266,5,62.00-63.00,1.63,13.6
2022-11-07 23:50:12.023266,5,63.00-64.00,1.59,13.3
2022-11-07 23:50:13.023265,5,64.00-65.00,1.58,13.3
2022-11-07 23:50:14.023271,5,65.00-66.00,1.54,12.9
2022-11-07 23:50:15.023266,5,66.00-67.00,1.48,12.4
2022-11-07 23:50:16.023265,5,67.00-68.00,1.27,10.7
2022-11-07 23:50:17.023265,5,68.00-69.00,1.13,9.44
2022-11-07 23:50:18.023261,5,69.00-70.00,1.08,9.05
2022-11-07 23:50:19.023262,5,70.00-71.00,1.04,8.73
2022-11-07 23:50:20.023265,5,71.00-72.00,915,7.49
2022-11-07 23:50:21.023262,5,72.00-73.00,892,7.31
2022-11-07 23:50:22.023262,5,73.00-74.00,798,6.53
2022-11-07 23:50:23.023267,5,74.00-75.00,428,3.51
2022-11-07 23:50:24.023265,5,75.00-76.00,926,7.59
2022-11-07 23:50:25.023763,5,76.00-77.00,262,2.14
2022-11-07 23:50:26.023263,5,77.00-78.00,837,6.86
2022-11-07 23:50:27.023263,5,78.00-79.00,491,4.02
2022-11-07 23:50:28.023263,5,79.00-80.00,426,3.49
2022-11-07 23:50:29.023263,5,80.00-81.00,392,3.21
2022-11-07 23:50:30.023262,5,81.00-82.00,386,3.16
2022-11-07 23:50:31.023263,5,82.00-83.00,368,3.01
2022-11-07 23:50:32.023266,5,83.00-84.00,310,2.54
2022-11-07 23:50:33.023264,5,84.00-85.00,296,2.42
2022-11-07 23:50:34.023262,5,85.00-86.00,250,2.05
2022-11-07 23:50:35.023263,5,86.00-87.00,256,2.10
2022-11-07 23:50:36.023263,5,87.00-88.00,173,1.41
2022-11-07 23:50:37.023260,5,88.00-89.00,184,1.51
2022-11-07 23:50:38.023262,5,89.00-90.00,185,1.52
2022-11-07 23:50:39.024014,5,90.00-91.00,42.4,347
2022-11-07 23:50:40.024218,5,91.00-92.00,0.00,Bytes
